100 nm


lambda, Y
300, 0.349961
305, 0.343219
310, 0.337648
315, 0.333395
320, 0.33091
325, 0.329675
330, 0.329567
335, 0.329868
340, 0.330185
345, 0.330128
350, 0.329706
355, 0.329129
360, 0.328856
365, 0.328908
370, 0.329062
375, 0.328996
380, 0.328711
385, 0.328713
390, 0.328678
395, 0.327597
400, 0.328345
405, 0.332145
410, 0.336938
415, 0.341695
420, 0.348191
425, 0.38243
430, 0.375808
435, 0.368197
440, 0.361038
445, 0.35278
450, 0.343378
455, 0.333284
460, 0.322436
465, 0.311232
470, 0.299993
475, 0.288708
480, 0.276258
485, 0.261719
490, 0.245457
495, 0.228934
500, 0.213697
505, 0.200485
510, 0.189054
515, 0.17871
520, 0.168968
525, 0.159679
530, 0.150673
535, 0.141937
540, 0.133583
545, 0.125682
550, 0.118312
555, 0.111541
560, 0.105397
565, 0.0998001
570, 0.0947296
575, 0.0905759
580, 0.087072
585, 0.0843592
590, 0.0824284
595, 0.0815046
600, 0.0818733
605, 0.0834791
610, 0.0856108
615, 0.0873122
620, 0.0884997
625, 0.0898597
630, 0.092506
635, 0.094817
640, 0.093353
645, 0.0898
650, 0.0875826
655, 0.0886391
660, 0.0932426
665, 0.101847
670, 0.114283
675, 0.130245
680, 0.148249
685, 0.165187
690, 0.177157
695, 0.181174
700, 0.17679
705, 0.16607
710, 0.152063
715, 0.137328
720, 0.123395
725, 0.110903
730, 0.100007
735, 0.0907373
740, 0.0829948
745, 0.0763583
750, 0.0706327
755, 0.0659896
760, 0.0619137
765, 0.0585436
770, 0.0557882
775, 0.0535484
780, 0.0519203
785, 0.0506516
790, 0.049451
795, 0.0499647
800, 0.0517925
805, 0.0553988
810, 0.0616957
815, 0.0723229
820, 0.090499
825, 0.116042
830, 0.125313
835, 0.103977
840, 0.0841199
845, 0.0758894
850, 0.0762744
855, 0.0803772
860, 0.0776811
865, 0.0698984
870, 0.0649741
875, 0.0629545
880, 0.0625314
885, 0.0629833
890, 0.0640054
895, 0.0655399
900, 0.067599
905, 0.0695376
910, 0.0701521
915, 0.0702086
920, 0.0705542
925, 0.0712923
930, 0.0724758
935, 0.0738592
940, 0.0752739
945, 0.0771916
950, 0.0797661
955, 0.0829135
960, 0.0869448
965, 0.0894373
970, 0.0879328
975, 0.0850988
980, 0.0827728
985, 0.0818241
990, 0.0812497
995, 0.0813928
1000, 0.0815909
1005, 0.0824133
1010, 0.0833682
1015, 0.0852767
1020, 0.0875335
1025, 0.0901362
1030, 0.0905132
1035, 0.0878307
1040, 0.0843144
1045, 0.0812349
1050, 0.0793436
1055, 0.0781216
1060, 0.0771656
1065, 0.0768362
1070, 0.0768894
1075, 0.0771777
1080, 0.0781525
1085, 0.0797668
1090, 0.0810443
1095, 0.0806571
1100, 0.0784039
1105, 0.0755439
1110, 0.0730105
1115, 0.07104
1120, 0.0696802
1125, 0.0689043
1130, 0.0686053
1135, 0.0686902
1140, 0.0691446
1145, 0.0699201
1150, 0.0706262
1155, 0.0704331
1160, 0.068916
1165, 0.066732
1170, 0.0647157
1175, 0.0631933
1180, 0.0621738
1185, 0.0616052
1190, 0.0614589
1195, 0.0617149
1200, 0.0622654
1205, 0.0627555
1210, 0.0626136
1215, 0.0615911
1220, 0.0601037
1225, 0.0587104
1230, 0.0576858
1235, 0.0570819
1240, 0.0568678
1245, 0.0569579
1250, 0.0571539
1255, 0.0571153
1260, 0.0565693
1265, 0.0556118
1270, 0.054584
1275, 0.0537394
1280, 0.0531645
