lambda	100 nm	150 nm	200 nm	250 nm	300 nm	350 nm	400 nm	425 nm
300	0.349961	0.381059	0.37049	0.340292	0.260255	0.274945	0.269319	0.251193
305	0.343219	0.371661	0.369354	0.33308	0.253315	0.276597	0.26425	0.242691
310	0.337648	0.364673	0.367419	0.327447	0.247614	0.276899	0.260947	0.236685
315	0.333395	0.359313	0.364982	0.323299	0.242951	0.276109	0.258953	0.232689
320	0.33091	0.355233	0.362329	0.32066	0.239257	0.274623	0.258162	0.230373
325	0.329675	0.351482	0.359669	0.31928	0.236206	0.272495	0.258311	0.229359
330	0.329567	0.347838	0.357138	0.318987	0.2337	0.269926	0.259272	0.229423
335	0.329868	0.343913	0.354868	0.319439	0.231487	0.266943	0.260723	0.230256
340	0.330185	0.33988	0.35304	0.320489	0.229478	0.263719	0.26243	0.231588
345	0.330128	0.33591	0.351835	0.321987	0.227594	0.260462	0.264258	0.233254
350	0.329706	0.332273	0.35136	0.323871	0.225868	0.25744	0.266333	0.235329
355	0.329129	0.329152	0.351746	0.326427	0.224437	0.2548	0.26896	0.238139
360	0.328856	0.326551	0.352583	0.329863	0.223606	0.252392	0.272251	0.242076
365	0.328908	0.32402	0.352655	0.333534	0.223598	0.249677	0.275118	0.246518
370	0.329062	0.321323	0.350836	0.336042	0.224339	0.246523	0.27583	0.249445
375	0.328996	0.31852	0.347432	0.336603	0.22524	0.243266	0.274104	0.249598
380	0.328711	0.315801	0.343439	0.335505	0.225802	0.240195	0.270906	0.247493
385	0.328713	0.312779	0.339657	0.335154	0.226448	0.237263	0.268009	0.245502
390	0.328678	0.309772	0.333227	0.332969	0.227796	0.233865	0.262466	0.241045
395	0.327597	0.307521	0.328482	0.325658	0.226063	0.231444	0.255965	0.233555
400	0.328345	0.304073	0.328662	0.32462	0.223241	0.229016	0.254962	0.231268
405	0.332145	0.299389	0.325539	0.331656	0.225956	0.224912	0.255571	0.234215
410	0.336938	0.295054	0.316075	0.33498	0.233405	0.221254	0.248803	0.231313
415	0.341695	0.29245	0.304143	0.329923	0.240521	0.221638	0.238253	0.221349
