100 nm


lambda, Y
300, 0.182029
305, 0.176749
310, 0.172027
315, 0.168904
320, 0.166128
325, 0.165022
330, 0.163938
335, 0.163205
340, 0.162706
345, 0.162637
350, 0.162163
355, 0.162025
360, 0.161335
365, 0.159463
370, 0.156137
375, 0.152646
380, 0.150284
385, 0.149195
390, 0.149404
395, 0.150711
400, 0.153536
405, 0.157732
410, 0.162745
415, 0.168865
420, 0.176764
425, 0.201532
430, 0.208378
435, 0.211235
440, 0.213769
445, 0.215678
450, 0.217
455, 0.217779
460, 0.217975
465, 0.217996
470, 0.217712
475, 0.216927
480, 0.215354
485, 0.212033
490, 0.207773
495, 0.203409
500, 0.19978
505, 0.197391
510, 0.196204
515, 0.195888
520, 0.195596
525, 0.195594
530, 0.195107
535, 0.194523
540, 0.193991
545, 0.193561
550, 0.193321
555, 0.193336
560, 0.193749
565, 0.194548
570, 0.19546
575, 0.196797
580, 0.197116
585, 0.197844
590, 0.198359
595, 0.199159
600, 0.200801
605, 0.203348
610, 0.206565
615, 0.209753
620, 0.212473
625, 0.214957
630, 0.218089
635, 0.221665
640, 0.223023
645, 0.221493
650, 0.217143
655, 0.214477
660, 0.213598
665, 0.2184
670, 0.229384
675, 0.249051
680, 0.278872
685, 0.316162
690, 0.354943
695, 0.38767
700, 0.408558
705, 0.416147
710, 0.412751
715, 0.40207
720, 0.38727
725, 0.370367
730, 0.352802
735, 0.336161
740, 0.321036
745, 0.305876
750, 0.29114
755, 0.278644
760, 0.265297
765, 0.253349
770, 0.241299
775, 0.229302
780, 0.216029
785, 0.200904
790, 0.195884
795, 0.200265
800, 0.207123
805, 0.215581
810, 0.227074
815, 0.240967
820, 0.257807
825, 0.275735
830, 0.280988
835, 0.27321
840, 0.271118
845, 0.276294
850, 0.285611
855, 0.295934
860, 0.302098
865, 0.306107
870, 0.31187
875, 0.319021
880, 0.326738
885, 0.334525
890, 0.342047
895, 0.349054
900, 0.355362
905, 0.361145
910, 0.367773
915, 0.375216
920, 0.381936
925, 0.388409
930, 0.395679
935, 0.402245
940, 0.407077
945, 0.412632
950, 0.41781
955, 0.419895
960, 0.421409
965, 0.419904
970, 0.4188
975, 0.422355
980, 0.424564
985, 0.428783
990, 0.429938
995, 0.432535
1000, 0.432253
1005, 0.433447
1010, 0.431419
1015, 0.430795
1020, 0.426018
1025, 0.421516
1030, 0.415229
1035, 0.411124
1040, 0.41077
1045, 0.4086
1050, 0.407716
1055, 0.406228
1060, 0.402385
1065, 0.399772
1070, 0.396769
1075, 0.391383
1080, 0.386116
1085, 0.381127
1090, 0.37434
1095, 0.367391
1100, 0.363426
1105, 0.36166
1110, 0.359362
1115, 0.355726
1120, 0.351788
1125, 0.348352
1130, 0.345079
1135, 0.341132
1140, 0.336082
1145, 0.330163
1150, 0.324158
1155, 0.319193
1160, 0.315954
1165, 0.313917
1170, 0.312101
1175, 0.309946
1180, 0.307302
1185, 0.304194
1190, 0.300675
1195, 0.296804
1200, 0.292703
1205, 0.288706
1210, 0.285372
1215, 0.283001
1220, 0.28127
