lambda	100 nm	150 nm	200 nm	250 nm	300 nm	350 nm	400 nm	425 nm
300	0.182029	0.186873	0.164067	0.177958	0.255535	0.233041	0.230715	0.258217
305	0.176749	0.185465	0.162822	0.172265	0.25426	0.230979	0.224927	0.253447
310	0.172027	0.184395	0.161669	0.16751	0.253543	0.229308	0.219987	0.24921
315	0.168904	0.184411	0.161118	0.163427	0.25281	0.228013	0.215835	0.24583
320	0.166128	0.184077	0.160764	0.160606	0.252682	0.227252	0.212568	0.242794
325	0.165022	0.184435	0.160848	0.158024	0.252067	0.226907	0.21011	0.240519
330	0.163938	0.183987	0.161053	0.156316	0.251558	0.226943	0.20842	0.238416
335	0.163205	0.183399	0.161841	0.155212	0.250598	0.227161	0.207335	0.236496
340	0.162706	0.182502	0.162891	0.154433	0.249317	0.22753	0.206985	0.235029
345	0.162637	0.181806	0.164432	0.15391	0.247724	0.228102	0.207377	0.234198
350	0.162163	0.181079	0.166654	0.154331	0.246503	0.228982	0.208429	0.233578
355	0.162025	0.180752	0.169247	0.154842	0.245305	0.230187	0.210238	0.233634
360	0.161335	0.179841	0.171432	0.155077	0.243736	0.230968	0.212328	0.233742
365	0.159463	0.177627	0.172439	0.154393	0.240343	0.229598	0.213439	0.232746
370	0.156137	0.173329	0.171125	0.15269	0.235234	0.225339	0.212654	0.23045
375	0.152646	0.168577	0.168716	0.151025	0.230228	0.220025	0.210634	0.227764
380	0.150284	0.165261	0.167107	0.150308	0.226564	0.215523	0.208529	0.225415
385	0.149195	0.163103	0.166467	0.150812	0.224818	0.212617	0.207515	0.224414
390	0.149404	0.161834	0.16588	0.152243	0.224257	0.209664	0.206533	0.224188
395	0.150711	0.161153	0.165078	0.152403	0.22459	0.207473	0.204584	0.222634
400	0.153536	0.161569	0.166669	0.153894	0.225545	0.208046	0.205251	0.222336
405	0.157732	0.162162	0.16848	0.158821	0.228758	0.208783	0.208402	0.226386
410	0.162745	0.162497	0.168839	0.164582	0.235924	0.208134	0.209068	0.230017
415	0.168865	0.163024	0.168386	0.16845	0.245902	0.207426	0.207266	0.229457
420	0.176764	0.163628	0.168249	0.17059	0.256555	0.21061	0.206355	0.227448
425	0.201532	0.17098	0.175577	0.179855	0.277283	0.228173	0.217253	0.232679
430	0.208378	0.179121	0.182861	0.186229	0.276949	0.241298	0.232508	0.248526
435	0.211235	0.179434	0.185786	0.192405	0.275034	0.240376	0.236423	0.25491
440	0.213769	0.182124	0.18492	0.199556	0.276648	0.237617	0.238993	0.263517
445	0.215678	0.185891	0.181253	0.205361	0.285769	0.237293	0.232126	0.265173
450	0.217	0.188911	0.176819	0.207985	0.294888	0.243639	0.221598	0.256022
455	0.217779	0.191086	0.173597	0.207476	0.301266	0.251618	0.217458	0.242885
460	0.217975	0.192555	0.172316	0.203572	0.305378	0.258278	0.219612	0.235214
465	0.217996	0.193809	0.172663	0.196731	0.307483	0.263281	0.224127	0.234848
470	0.217712	0.194535	0.17359	0.188058	0.30633	0.266772	0.228951	0.238433
475	0.216927	0.194713	0.17491	0.179708	0.300133	0.268957	0.234038	0.243336
480	0.215354	0.194804	0.177609	0.173975	0.286835	0.269016	0.238907	0.248197
485	0.212033	0.194125	0.180261	0.171194	0.266004	0.265947	0.242742	0.253407
490	0.207773	0.192619	0.182156	0.172293	0.245624	0.257329	0.2451	0.258376
495	0.203409	0.189206	0.182028	0.176202	0.235734	0.241209	0.243891	0.261656
500	0.19978	0.183161	0.17891	0.181233	0.237064	0.223185	0.233963	0.25916
505	0.197391	0.17647	0.172358	0.185366	0.243981	0.21758	0.21516	0.244812
510	0.196204	0.172781	0.164875	0.185364	0.248808	0.223862	0.206053	0.227421
515	0.195888	0.172411	0.161663	0.183626	0.240817	0.228021	0.212994	0.22807
520	0.195596	0.172836	0.159649	0.190321	0.231313	0.216702	0.220069	0.238267
525	0.195594	0.173137	0.157169	0.198826	0.239279	0.205871	0.214579	0.242557
530	0.195107	0.172468	0.154335	0.204302	0.249612	0.208045	0.20233	0.235662
535	0.194523	0.171356	0.152322	0.206102	0.257935	0.214184	0.194092	0.22321
540	0.193991	0.169978	0.150903	0.203178	0.2649	0.219944	0.190858	0.213643
545	0.193561	0.168491	0.149641	0.195688	0.271409	0.224858	0.190307	0.208697
550	0.193321	0.166982	0.148175	0.185453	0.277829	0.22923	0.19077	0.206723
555	0.193336	0.165397	0.146316	0.174812	0.283646	0.233353	0.191548	0.206096
560	0.193749	0.163718	0.144216	0.165462	0.287486	0.237455	0.192665	0.205787
565	0.194548	0.161983	0.142301	0.158293	0.28775	0.241765	0.19452	0.205349
570	0.19546	0.160049	0.140235	0.152601	0.282701	0.246928	0.197635	0.205332
575	0.196797	0.158693	0.13804	0.147278	0.269957	0.252901	0.201764	0.20597
580	0.197116	0.157613	0.136301	0.142663	0.252426	0.259029	0.206777	0.207445
585	0.197844	0.156971	0.134679	0.13838	0.233862	0.265155	0.21248	0.210299
590	0.198359	0.156442	0.133043	0.134472	0.217323	0.271109	0.219431	0.214799
595	0.199159	0.156237	0.131723	0.131478	0.204444	0.275582	0.228084	0.220755
600	0.200801	0.156249	0.130542	0.129109	0.195068	0.275976	0.239202	0.228294
605	0.203348	0.156191	0.129498	0.127266	0.188509	0.267499	0.253473	0.237912
610	0.206565	0.155866	0.128752	0.125898	0.183681	0.246741	0.270097	0.24985
615	0.209753	0.155363	0.128478	0.124884	0.179582	0.2198	0.285941	0.263497
620	0.212473	0.154995	0.128659	0.124117	0.17605	0.196614	0.296836	0.278109
625	0.214957	0.155077	0.128789	0.123545	0.173249	0.180265	0.297522	0.292637
630	0.218089	0.155757	0.128458	0.123202	0.171266	0.169509	0.281889	0.303471
635	0.221665	0.156357	0.128085	0.123257	0.170127	0.161814	0.251758	0.303251
640	0.223023	0.156345	0.127887	0.123449	0.169465	0.155445	0.2204	0.288978
645	0.221493	0.156333	0.128065	0.123733	0.169291	0.150426	0.194033	0.265304
650	0.217143	0.155051	0.128801	0.125028	0.170182	0.146587	0.173434	0.236907
655	0.214477	0.15303	0.129831	0.126527	0.171991	0.143756	0.157784	0.205643
660	0.213598	0.148567	0.131727	0.129768	0.176238	0.141983	0.148544	0.178457
665	0.2184	0.142779	0.134436	0.134476	0.183223	0.142879	0.143104	0.161821
670	0.229384	0.13577	0.137558	0.142308	0.193343	0.147712	0.136806	0.158837
675	0.249051	0.129225	0.139827	0.153425	0.203625	0.155848	0.128895	0.15743
680	0.278872	0.125364	0.139015	0.164071	0.208476	0.165725	0.123922	0.148507
685	0.316162	0.12487	0.133643	0.165266	0.205283	0.176044	0.123696	0.139457
690	0.354943	0.127342	0.125622	0.15319	0.195642	0.185957	0.127984	0.135102
695	0.38767	0.131951	0.118144	0.135575	0.181795	0.19524	0.13687	0.136373
700	0.408558	0.137785	0.11254	0.120515	0.164928	0.2023	0.151481	0.143857
705	0.416147	0.144064	0.108649	0.11222	0.14791	0.203224	0.174063	0.159676
710	0.412751	0.150234	0.10594	0.109539	0.138957	0.19031	0.205741	0.187497
715	0.40207	0.155945	0.103948	0.109391	0.141959	0.162588	0.232575	0.227082
720	0.38727	0.160947	0.102325	0.110163	0.149247	0.14354	0.216268	0.249457
725	0.370367	0.165028	0.100832	0.111496	0.155212	0.140122	0.17303	0.219398
730	0.352802	0.168182	0.0993763	0.112959	0.159243	0.142837	0.145803	0.178694
735	0.336161	0.17082	0.0982388	0.112434	0.161809	0.146498	0.134504	0.154791
740	0.321036	0.173066	0.0975798	0.110464	0.163305	0.149761	0.13055	0.143675
745	0.305876	0.174039	0.096981	0.109597	0.164511	0.152244	0.129637	0.139115
750	0.29114	0.174106	0.0969005	0.11003	0.165775	0.154464	0.129953	0.137312
755	0.278644	0.174236	0.0968634	0.110356	0.166486	0.156934	0.130338	0.136253
760	0.265297	0.172629	0.0963598	0.111079	0.167479	0.159271	0.130797	0.135694
765	0.253349	0.170872	0.0964944	0.112505	0.168641	0.16248	0.131486	0.134881
770	0.241299	0.16773	0.0957233	0.113693	0.169817	0.166274	0.132271	0.133941
775	0.229302	0.163807	0.0954562	0.116157	0.171734	0.171184	0.134049	0.13315
780	0.216029	0.157572	0.0938507	0.118685	0.174075	0.178062	0.136868	0.132921
785	0.200904	0.146276	0.0912807	0.122817	0.178619	0.189221	0.142342	0.133924
790	0.195884	0.13187	0.0856657	0.119774	0.177852	0.205028	0.157211	0.141443
795	0.200265	0.124718	0.081383	0.113325	0.170176	0.207008	0.17785	0.157534
800	0.207123	0.12099	0.0785081	0.107784	0.163974	0.190524	0.184319	0.171359
805	0.215581	0.11864	0.0777285	0.104612	0.164129	0.185509	0.172308	0.165425
810	0.227074	0.118101	0.0794851	0.103909	0.164911	0.196567	0.171503	0.158829
815	0.240967	0.118854	0.0805505	0.102925	0.163165	0.208149	0.183208	0.161741
820	0.257807	0.121214	0.0804141	0.100995	0.159655	0.215526	0.200632	0.171212
825	0.275735	0.127037	0.0797642	0.0984462	0.155183	0.218635	0.220446	0.184974
830	0.280988	0.13488	0.0791843	0.0957904	0.150372	0.217931	0.241178	0.202273
835	0.27321	0.137574	0.0788629	0.0934089	0.145649	0.214526	0.261672	0.22269
840	0.271118	0.137114	0.0787312	0.0913906	0.141191	0.208377	0.280179	0.246099
845	0.276294	0.137328	0.078692	0.0896644	0.137087	0.199317	0.292782	0.269433
850	0.285611	0.13905	0.078706	0.088147	0.133564	0.190133	0.29609	0.286099
855	0.295934	0.1426	0.0787768	0.0867909	0.130579	0.183414	0.298477	0.300328
860	0.302098	0.146845	0.0789175	0.0855761	0.127856	0.176542	0.30266	0.318194
865	0.306107	0.15012	0.0791367	0.0844895	0.125467	0.16831	0.302865	0.335934
870	0.31187	0.153239	0.0794336	0.0835165	0.123496	0.159031	0.292928	0.343725
875	0.319021	0.156797	0.0797979	0.08264	0.12161	0.151148	0.270639	0.329294
880	0.326738	0.160832	0.080213	0.081849	0.119218	0.147535	0.25098	0.305354
885	0.334525	0.165268	0.0806643	0.0811512	0.116712	0.145421	0.243728	0.294066
890	0.342047	0.170033	0.081165	0.0805785	0.11468	0.14222	0.241217	0.292086
895	0.349054	0.175107	0.0817821	0.0801666	0.113189	0.138201	0.238266	0.291821
900	0.355362	0.180451	0.0826238	0.0798912	0.112118	0.13404	0.233727	0.289969
905	0.361145	0.185763	0.0837304	0.0796188	0.111261	0.130111	0.227387	0.285328
910	0.367773	0.191152	0.0849378	0.0791959	0.110364	0.126615	0.21954	0.277084
915	0.375216	0.197109	0.0859973	0.0786848	0.109429	0.123199	0.211934	0.26798
920	0.381936	0.203358	0.087019	0.0783912	0.108852	0.119582	0.205366	0.260695
925	0.388409	0.210306	0.088517	0.0783796	0.108649	0.116319	0.199137	0.253791
930	0.395679	0.218428	0.0904668	0.0782122	0.108434	0.113605	0.192465	0.245913
935	0.402245	0.226647	0.0921278	0.0778026	0.108171	0.110911	0.185235	0.237481
940	0.407077	0.23453	0.0938024	0.0777622	0.108211	0.108372	0.17844	0.229539
945	0.412632	0.243773	0.0963749	0.0779078	0.108305	0.106545	0.172003	0.221185
