100 nm


lambda, Y
300, 0.106084
305, 0.100343
310, 0.110329
315, 0.103104
320, 0.116126
325, 0.107466
330, 0.115412
335, 0.11865
340, 0.123125
345, 0.119828
350, 0.126248
355, 0.126401
360, 0.131163
365, 0.133256
370, 0.143497
375, 0.155494
380, 0.16833
385, 0.177623
390, 0.186583
395, 0.194689
400, 0.198144
405, 0.196908
410, 0.200008
415, 0.205779
420, 0.21498
425, 0.216862
430, 0.179377
435, 0.17144
440, 0.165886
445, 0.164783
450, 0.164049
455, 0.165338
460, 0.167366
465, 0.169335
470, 0.171125
475, 0.173673
480, 0.177733
485, 0.183124
490, 0.18681
495, 0.187571
500, 0.184201
505, 0.177733
510, 0.170031
515, 0.162075
520, 0.154925
525, 0.148783
530, 0.143129
535, 0.138015
540, 0.133709
545, 0.129902
550, 0.126394
555, 0.123187
560, 0.12048
565, 0.117594
570, 0.113613
575, 0.11164
580, 0.109965
585, 0.109769
590, 0.109425
595, 0.109293
600, 0.109776
605, 0.110738
610, 0.11217
615, 0.113795
620, 0.115072
625, 0.115732
630, 0.115913
635, 0.116466
640, 0.117259
645, 0.117823
650, 0.116051
655, 0.112091
660, 0.106385
665, 0.0999254
670, 0.0922424
675, 0.0857884
680, 0.0814821
685, 0.080094
690, 0.0825387
695, 0.0884128
700, 0.0959402
705, 0.103133
710, 0.108766
715, 0.112525
720, 0.114593
725, 0.115156
730, 0.114308
735, 0.112645
740, 0.111248
745, 0.109765
750, 0.107333
755, 0.105662
760, 0.103925
765, 0.101939
770, 0.100706
775, 0.0988302
780, 0.096655
785, 0.0856202
790, 0.0687658
795, 0.0606581
800, 0.0565264
805, 0.0545141
810, 0.0538551
815, 0.0547018
820, 0.0582845
825, 0.0648872
830, 0.0672691
835, 0.0598699
840, 0.0523216
845, 0.0483244
850, 0.0470955
855, 0.0466995
860, 0.0434408
865, 0.0388327
870, 0.0356955
875, 0.0337505
880, 0.032453
885, 0.031556
890, 0.0309687
895, 0.0306685
900, 0.0306704
905, 0.0306909
910, 0.029958
915, 0.0289003
920, 0.0280168
925, 0.0270146
930, 0.0261499
935, 0.0259389
940, 0.0257572
945, 0.0253919
950, 0.0260308
955, 0.0271794
960, 0.0286724
965, 0.0304461
970, 0.0291857
975, 0.0269507
980, 0.0248442
985, 0.0232195
990, 0.0223922
995, 0.0214826
1000, 0.0213124
1005, 0.0210249
1010, 0.0214242
1015, 0.0222532
1020, 0.0236378
1025, 0.0258491
1030, 0.0263325
1035, 0.0252872
1040, 0.0226654
1045, 0.0203523
1050, 0.0191131
1055, 0.0177785
1060, 0.0170657
1065, 0.0170244
1070, 0.0168171
1075, 0.0170515
1080, 0.0182229
1085, 0.0196977
1090, 0.0209007
1095, 0.0212292
1100, 0.020172
1105, 0.0182232
1110, 0.0162318
1115, 0.0147695
1120, 0.0139935
1125, 0.0137144
1130, 0.0136963
1135, 0.0138977
1140, 0.0144562
1145, 0.0154593
1150, 0.0166151
1155, 0.0171353
1160, 0.0164736
1165, 0.0150609
1170, 0.0136259
1175, 0.0125225
1180, 0.0118205
1185, 0.0115128
1190, 0.0115971
1195, 0.0120707
1200, 0.0128504
1205, 0.0136217
1210, 0.0138452
1215, 0.0132437
1220, 0.0121598
1225, 0.011109
1230, 0.0103656
1235, 0.00999997
1240, 0.0100034
1245, 0.0103173
1250, 0.010774
1255, 0.0110512
1260, 0.010854
1265, 0.0102264
1270, 0.00947585
1275, 0.00885288
1280, 0.0084522
1285, 0.00826294
1290, 0.00819239
1295, 0.00808106
1300, 0.0078105
1305, 0.00742087
1310, 0.00702933
1315, 0.0066865
1320, 0.00636172
1325, 0.00600961
1330, 0.00563769
1335, 0.00531157
1340, 0.00506254
1345, 0.0048231
1350, 0.00450681
1355, 0.00413875
1360, 0.00385119
1365, 0.00372412
1370, 0.00366549
1375, 0.00352068
1380, 0.00329723
1385, 0.00316757
1390, 0.00319315
1395, 0.00319878
1400, 0.00306052
1405, 0.0029403
1410, 0.00299707
1415, 0.00306648
1420, 0.00297396
1425, 0.00290706
1430, 0.00303145
1435, 0.00311723
1440, 0.0030498
1445, 0.00311474
1450, 0.00333069
1455, 0.00339574
1460, 0.00345478
1465, 0.00376507
1470, 0.00403873
1475, 0.00423815
1480, 0.00481977
1485, 0.00613074
1490, 0.0070321
1495, 0.00763087
1500, 0.00974798
1505, 0.0114711
1510, 0.0128083
1515, 0.0142863
1520, 0.0156901
1525, 0.0173735
1530, 0.0188875
1535, 0.019777
1540, 0.0202404
1545, 0.0196937
1550, 0.0184535
1555, 0.0169132
1560, 0.0148914
1565, 0.0131395
1570, 0.0114138
1575, 0.00983395
1580, 0.0086772
1585, 0.00744376
1590, 0.00663863
1595, 0.00583133
1600, 0.00516045

150 nm


lambda, Y
300, 0.147546
305, 0.145837
310, 0.152895
315, 0.148715
320, 0.155496
325, 0.149222
330, 0.152728
335, 0.151647
340, 0.152382
345, 0.149355
350, 0.149385
355, 0.146658
360, 0.147941
365, 0.14731
370, 0.154755
375, 0.165149
380, 0.175481
385, 0.184053
390, 0.192821
395, 0.200562
400, 0.204819
405, 0.206651
410, 0.212856
415, 0.221262
420, 0.23239
425, 0.246591
430, 0.211833
435, 0.204152
440, 0.194052
445, 0.186243
450, 0.180565
455, 0.177686
460, 0.175963
465, 0.174356
470, 0.173063
475, 0.172526
480, 0.17244
485, 0.174486
490, 0.178936
495, 0.187567
500, 0.198623
505, 0.203579
510, 0.196089
515, 0.181613
520, 0.168247
525, 0.157455
530, 0.149322
535, 0.14234
540, 0.136409
545, 0.131176
550, 0.126321
555, 0.121637
560, 0.117097
565, 0.112639
570, 0.107266
575, 0.103264
580, 0.0998905
585, 0.0976922
590, 0.0950924
595, 0.0926395
600, 0.0908104
605, 0.0896536
610, 0.0893626
615, 0.089985
620, 0.0914122
625, 0.0937372
630, 0.0970426
635, 0.101193
640, 0.106409
645, 0.113048
650, 0.11874
655, 0.123044
660, 0.123271
665, 0.118843
670, 0.108649
675, 0.0949585
680, 0.0811631
685, 0.0700721
690, 0.0632203
695, 0.0606313
700, 0.0613948
705, 0.0643617
710, 0.0685402
715, 0.0732268
720, 0.0779726
725, 0.0824016
730, 0.0860788
