lambda	100 nm	150 nm	200 nm	250 nm	300 nm	350 nm	400 nm	425 nm
300	0.106084	0.147546	0.155465	0.15925	0.195181	0.184426	0.20048	0.215533
305	0.100343	0.145837	0.161308	0.159284	0.196506	0.191542	0.198528	0.213119
310	0.110329	0.152895	0.169764	0.161828	0.199937	0.202461	0.20281	0.215387
315	0.103104	0.148715	0.172467	0.161444	0.197593	0.206106	0.201123	0.212005
320	0.116126	0.155496	0.17945	0.166527	0.202113	0.217478	0.208775	0.216862
325	0.107466	0.149222	0.18007	0.167022	0.197587	0.216902	0.207517	0.214169
330	0.115412	0.152728	0.185168	0.172091	0.19857	0.222118	0.214034	0.218945
335	0.11865	0.151647	0.187849	0.177887	0.200605	0.22694	0.220739	0.223652
340	0.123125	0.152382	0.19073	0.182931	0.200783	0.22867	0.226891	0.229127
345	0.119828	0.149355	0.1908	0.184929	0.196551	0.223753	0.227719	0.230813
350	0.126248	0.149385	0.190932	0.189704	0.198958	0.226656	0.235365	0.238393
355	0.126401	0.146658	0.188717	0.191513	0.197442	0.223736	0.237771	0.242277
360	0.131163	0.147941	0.188597	0.194597	0.197197	0.22113	0.240706	0.24797
365	0.133256	0.14731	0.187889	0.200037	0.201816	0.222069	0.24472	0.255035
370	0.143497	0.154755	0.19345	0.210133	0.212268	0.228635	0.251686	0.265534
375	0.155494	0.165149	0.201405	0.22093	0.224655	0.23761	0.258194	0.274849
380	0.16833	0.175481	0.208003	0.229762	0.237244	0.248719	0.264987	0.282933
385	0.177623	0.184053	0.211476	0.233454	0.244724	0.255493	0.267668	0.286677
390	0.186583	0.192821	0.216508	0.237166	0.253438	0.264371	0.269753	0.288485
395	0.194689	0.200562	0.222555	0.245061	0.264142	0.277399	0.276466	0.293592
400	0.198144	0.204819	0.218725	0.244535	0.26645	0.280937	0.279149	0.297628
405	0.196908	0.206651	0.211085	0.232568	0.2604	0.275914	0.27002	0.290141
410	0.200008	0.212856	0.210698	0.222221	0.255405	0.278436	0.263834	0.28033
415	0.205779	0.221262	0.217171	0.2193	0.252408	0.289778	0.26682	0.278582
420	0.21498	0.23239	0.226647	0.223991	0.251032	0.306268	0.277019	0.286014
425	0.216862	0.246591	0.222698	0.221165	0.23942	0.314395	0.28367	0.296307
430	0.179377	0.211833	0.202165	0.204788	0.227188	0.266356	0.247296	0.266928
435	0.17144	0.204152	0.197608	0.199539	0.230963	0.263399	0.243098	0.261464
440	0.165886	0.194052	0.19909	0.191925	0.226892	0.258162	0.238524	0.249909
445	0.164783	0.186243	0.204699	0.189034	0.216748	0.251638	0.244257	0.247089
450	0.164049	0.180565	0.209078	0.191799	0.210835	0.239764	0.249527	0.253538
455	0.165338	0.177686	0.211371	0.199516	0.210716	0.229666	0.247313	0.261564
460	0.167366	0.175963	0.211501	0.210254	0.21414	0.223301	0.240466	0.263032
465	0.169335	0.174356	0.210249	0.222078	0.220213	0.220347	0.232987	0.258562
470	0.171125	0.173063	0.20809	0.232474	0.229828	0.219838	0.226717	0.251645
