

time(ps), Y
0.3125, 0.00206483
0.625, 0.00207037
0.9375, 0.00207543
1.25, 0.00207957
1.5625, 0.00208303
1.875, 0.00208722
2.1875, 0.0020913
2.5, 0.00209405
2.8125, 0.00209673
3.125, 0.00209953
3.4375, 0.00210348
3.75, 0.0021083
4.0625, 0.00211283
4.375, 0.00211625
4.6875, 0.00211895
5, 0.00212271
5.3125, 0.00212746
5.625, 0.00213073
5.9375, 0.00213274
6.25, 0.00213534
6.5625, 0.00213767
6.875, 0.00213928
7.1875, 0.00214111
7.5, 0.00214389
7.8125, 0.00214526
8.125, 0.00214668
8.4375, 0.00214867
8.75, 0.0021503
9.0625, 0.00215362
9.375, 0.00215685
9.6875, 0.00215963
10, 0.00216207
10.3125, 0.00216361
10.625, 0.00216444
10.9375, 0.00216575
11.25, 0.00216746
11.5625, 0.00216868
11.875, 0.00216979
12.1875, 0.00217099
12.5, 0.00217175
12.8125, 0.00217252
13.125, 0.00217399
13.4375, 0.002176
13.75, 0.00217741
14.0625, 0.00217818
14.375, 0.00217492
14.6875, 0.00215632
15, 0.00211789
15.3125, 0.00206417
15.625, 0.0020027
15.9375, 0.00193963
16.25, 0.00187734
16.5625, 0.00181682
16.875, 0.00175822
17.1875, 0.00170148
17.5, 0.00164659
17.8125, 0.00159346
18.125, 0.00154205
18.4375, 0.0014923
18.75, 0.00144415
19.0625, 0.00139755
19.375, 0.00135246
19.6875, 0.00130883
20, 0.0012666
20.3125, 0.00122573
20.625, 0.00118618
20.9375, 0.00114791
21.25, 0.00111088
21.5625, 0.00107503
21.875, 0.00104035
22.1875, 0.00100678
22.5, 0.0009743
22.8125, 0.000942865
23.125, 0.000912444
23.4375, 0.000883005
23.75, 0.000854516
24.0625, 0.000826945
24.375, 0.000800264
24.6875, 0.000774444
25, 0.000749457
25.3125, 0.000725277
25.625, 0.000701876
25.9375, 0.000679231
26.25, 0.000657316
26.5625, 0.000636108
26.875, 0.000615584
27.1875, 0.000595723
27.5, 0.000576502
27.8125, 0.000557902
28.125, 0.000539901
28.4375, 0.000522482
28.75, 0.000505625
29.0625, 0.000489311
29.375, 0.000473524
29.6875, 0.000458246
30, 0.000443461
30.3125, 0.000429153
30.625, 0.000415307
30.9375, 0.000401907
31.25, 0.00038894
31.5625, 0.000376391
31.875, 0.000364247
32.1875, 0.000352495
32.5, 0.000341122
32.8125, 0.000330116
33.125, 0.000319465
33.4375, 0.000309157
33.75, 0.000299183
34.0625, 0.00028953
34.375, 0.000285179
34.6875, 0.000296444
35, 0.0003282
35.3125, 0.000375593
35.625, 0.000430021
35.9375, 0.000485708
36.25, 0.000541207
36.5625, 0.000596102
36.875, 0.000648706
37.1875, 0.000699195
37.5, 0.000748772
37.8125, 0.000796716
38.125, 0.000842192
38.4375, 0.000886061
38.75, 0.000928478
39.0625, 0.000969502
39.375, 0.00100922
39.6875, 0.00104885
40, 0.00108686
40.3125, 0.00112223
40.625, 0.00115671
40.9375, 0.00118938
41.25, 0.00122064
41.5625, 0.00125213
41.875, 0.00128368
42.1875, 0.00131404
42.5, 0.00134312
42.8125, 0.00137226
43.125, 0.00139979
43.4375, 0.00142634
43.75, 0.00145259
44.0625, 0.00147642
44.375, 0.00149959
44.6875, 0.00152322
45, 0.00154586
45.3125, 0.00156709
45.625, 0.00158772
45.9375, 0.00160784
46.25, 0.00162713
46.5625, 0.00164641
46.875, 0.00166594
47.1875, 0.00168349
47.5, 0.00170001
47.8125, 0.00171654
48.125, 0.00173327
48.4375, 0.00174957
