bitrate (Gbps)	BER Limit	-1 Volt	-5 Volt	-10 Volt
1	1E-12	0	0	0
2.2375	1E-12	0	0	0
3.475	1E-12	0	0	0
4.7125	1E-12	0	0	0
5.95	1E-12	0	0	0
7.1875	1E-12	0	0	0
8.425	1E-12	6.5313E-135	0	0
9.6625	1E-12	6.52229E-65	0	0
10.9	1E-12	4.854E-35	0	0
12.1375	1E-12	1.12902E-21	0	0
13.375	1E-12	8.17711E-15	0	0
14.6125	1E-12	6.52379E-11	0	0
15.85	1E-12	1.64991E-08	1.7458E-197	0
17.0875	1E-12	6.20326E-07	1.8113E-121	0
18.325	1E-12	7.55249E-06	6.24597E-80	0
19.5625	1E-12	4.5525E-05	7.06968E-60	0
20.8	1E-12	0.000173153	1.55776E-43	0
22.0375	1E-12	0.000383893	6.87543E-33	0
23.275	1E-12	0.000883772	1.13868E-25	0
24.5125	1E-12	0.001719808	1.33199E-20	0
25.75	1E-12	0.002956174	6.16737E-17	0
26.9875	1E-12	0.004627112	3.24564E-14	0
28.225	1E-12	0.006736898	3.78443E-12	4.4566E-272
29.4625	1E-12	0.009266378	1.5121E-10	9.6828E-203
30.7	1E-12	0.012180357	2.77396E-09	1.1429E-154
31.9375	1E-12	0.015434764	2.857E-08	1.6255E-120
33.175	1E-12	0.018980603	1.90296E-07	1.05148E-95
34.4125	1E-12	0.022779805	9.07131E-07	2.83596E-83
35.65	1E-12	0.026791066	3.33066E-06	2.78356E-68
36.8875	1E-12	0.029768024	9.94512E-06	9.06358E-57
38.125	1E-12	0.033937512	2.52023E-05	8.5055E-48
39.3625	1E-12	0.036352979	5.59358E-05	1.04232E-40
40.6	1E-12	0.036829006	0.000111414	4.87865E-35
41.8375	1E-12	0.031422447	0.000202978	1.8893E-30
43.075	1E-12	0.043999729	0.000270147	1.06635E-26
44.3125	1E-12	0.046028837	0.000437613	1.33475E-23
45.55	1E-12	0.042011675	0.000671166	5.08042E-21
46.7875	1E-12	0.042479559	0.000982562	7.47309E-19
48.025	1E-12	0.0430715	0.001382356	5.11093E-17
49.2625	1E-12	0.044820841	0.001879274	1.87499E-15
50.5	1E-12	0.041504004	0.002480162	4.13048E-14
51.7375	1E-12	0.041399014	0.003186911	5.97035E-13
52.975	1E-12	0.055250982	0.004003962	6.07855E-12
54.2125	1E-12	0.041325679	0.004932306	4.61636E-11
55.45	1E-12	0.041436208	0.005970903	2.73873E-10
56.6875	1E-12	0.041592019	0.007117541	1.31786E-09
57.925	1E-12	0.041793621	0.008368739	5.30542E-09
59.1625	1E-12	0.027831076	0.009720307	1.83324E-08
60.4	1E-12	0.027861853	0.011166832	5.5538E-08
61.6375	1E-12	0.027740865	0.012703108	1.50159E-07
62.875	1E-12	0.049787463	0.014322868	3.67765E-07
64.1125	1E-12	0.050311817	0.016020276	8.26285E-07
65.35	1E-12	0.050797226	0.017788937	1.72135E-06
66.5875	1E-12	0.040070061	0.019622756	3.35544E-06
67.825	1E-12	0.040343168	0.021515924	6.16794E-06
69.0625	1E-12	0.040641525	0.023470373	1.07639E-05
70.3	1E-12	0.039542125	0.0254771	1.79263E-05
71.5375	1E-12	0.040990196	0.027527071	2.86424E-05
72.775	1E-12	0.041242027	0.029615563	4.41133E-05
74.0125	1E-12	0.041328534	0.030523196	6.574E-05
75.25	1E-12	0.03916607	0.032611442	9.51065E-05
76.4875	1E-12	0.039235573	0.03472482	0.000133968
77.725	1E-12	0.054797406	0.036859548	0.0001842
78.9625	1E-12	0.015340164	0.036682591	0.00019238
80.2	1E-12	0.015176793	0.039240994	0.000256578
81.4375	1E-12	0.009493142	0.036829854	0.000335799
82.675	1E-12	0.009436697	0.03175777	0.000431986
83.9125	1E-12	0.009256781	0.031283836	0.000547041
85.15	1E-12	0.014781551	0.043362069	0.000682826
86.3875	1E-12	0.073388836	0.044360864	0.000841124
87.625	1E-12	0.072903772	0.045375351	0.001023576
88.8625	1E-12	0.072446932	0.046405558	0.001231743
90.1	1E-12	0.072017825	0.041924704	0.001467033
91.3375	1E-12	0.071612692	0.042147323	0.001730613
92.575	1E-12	0.015198824	0.042384787	0.002023625
93.8125	1E-12	0.015056707	0.042640275	0.002346929
95.05	1E-12	0.014920728	0.042941776	0.002701282
96.2875	1E-12	0.014791084	0.10209865	0.003087237
97.525	1E-12	0.014863463	0.102010764	0.003505177
98.7625	1E-12	0.014746535	0.044764115	0.003955305
100	1E-12	0.011765219	0.041579571	0.004437925
