power	35	40	45	50	55	Limit
1	1.2E-75	1.2E-37	4.1E-22	1.3E-14	1.5E-10	1.00E-12
0.9	1.4E-75	1.3E-37	4.2E-22	1.3E-14	1.5E-10	1.00E-12
0.8	1.7E-75	1.4E-37	4.3E-22	1.3E-14	1.5E-10	1.00E-12
0.7	2.1E-75	1.5E-37	4.4E-22	1.3E-14	1.5E-10	1.00E-12
0.6	2.9E-75	1.6E-37	4.6E-22	1.3E-14	1.5E-10	1.00E-12
0.5	4.4E-75	1.8E-37	4.8E-22	1.3E-14	1.5E-10	1.00E-12
0.4	8.0E-75	2.2E-37	5.1E-22	1.4E-14	1.6E-10	1.00E-12
0.3	2.1E-74	2.8E-37	5.6E-22	1.5E-14	1.6E-10	1.00E-12
0.2	1.3E-73	4.8E-37	6.8E-22	1.6E-14	1.7E-10	1.00E-12
0.1	1.7E-71	2.0E-36	1.1E-21	2.0E-14	1.9E-10	1.00E-12
0.09	4.5E-71	2.6E-36	1.3E-21	2.1E-14	2.0E-10	1.00E-12
0.08	1.5E-70	3.8E-36	1.4E-21	2.2E-14	2.0E-10	1.00E-12
0.07	6.5E-70	5.9E-36	1.7E-21	2.4E-14	2.1E-10	1.00E-12
0.06	4.5E-69	1.0E-35	2.1E-21	2.6E-14	2.2E-10	1.00E-12
0.05	6.0E-68	2.1E-35	2.8E-21	3.0E-14	2.4E-10	1.00E-12
0.04	2.4E-66	6.3E-35	4.2E-21	3.6E-14	2.6E-10	1.00E-12
0.03	7.3E-64	3.4E-34	8.0E-21	4.8E-14	3.0E-10	1.00E-12
0.02	1.6E-59	7.8E-33	2.7E-20	8.2E-14	4.0E-10	1.00E-12
0.01	9.6E-50	1.7E-29	6.1E-19	3.5E-13	8.5E-10	1.00E-12
0.009	4.8E-48	7.2E-29	1.1E-18	4.7E-13	9.9E-10	1.00E-12
0.008	4.3E-46	4.0E-28	2.3E-18	6.7E-13	1.2E-09	1.00E-12
0.007	7.9E-44	3.1E-27	5.8E-18	1.0E-12	1.5E-09	1.00E-12
0.006	3.6E-41	3.8E-26	1.8E-17	1.8E-12	2.1E-09	1.00E-12
0.005	5.2E-38	8.6E-25	7.4E-17	3.9E-12	3.1E-09	1.00E-12
0.004	3.6E-34	4.8E-23	5.1E-16	1.1E-11	5.5E-09	1.00E-12
0.003	2.1E-29	1.1E-20	7.6E-15	4.6E-11	1.3E-08	1.00E-12
0.002	2.7E-23	2.1E-17	4.8E-13	4.9E-10	5.4E-08	1.00E-12
0.001	3.9E-15	2.7E-12	6.2E-10	4.4E-08	1.0E-06	1.00E-12
0.0009	3.3E-14	1.3E-11	1.7E-09	8.6E-08	1.6E-06	1.00E-12
0.0008	3.2E-13	6.7E-11	5.3E-09	1.8E-07	2.7E-06	1.00E-12
0.0007	3.3E-12	3.9E-10	1.8E-08	4.2E-07	5.0E-06	1.00E-12
0.0006	8.9E-11	2.6E-09	6.9E-08	1.1E-06	9.9E-06	1.00E-12
0.0005	1.1E-09	1.8E-08	3.1E-07	3.1E-06	2.1E-05	1.00E-12
0.0004	1.5E-08	1.4E-07	1.6E-06	1.1E-05	5.3E-05	1.00E-12
0.0003	2.7E-07	6.4E-07	9.2E-06	4.6E-05	1.6E-04	1.00E-12
0.0002	6.7E-06	1.2E-05	4.4E-05	2.1E-04	5.9E-04	1.00E-12
0.0001	2.7E-04	5.0E-04	7.5E-04	1.5E-03	2.6E-03	1.00E-12
0.00009	4.1E-04	7.2E-04	1.0E-03	1.9E-03	3.3E-03	1.00E-12
0.00008	6.3E-04	1.0E-03	1.5E-03	2.6E-03	4.3E-03	1.00E-12
0.00007	9.7E-04	1.5E-03	2.1E-03	3.5E-03	5.6E-03	1.00E-12
0.00006	1.5E-03	2.3E-03	3.1E-03	4.9E-03	7.4E-03	1.00E-12
0.00005	2.5E-03	3.4E-03	4.4E-03	6.6E-03	1.7E-02	1.00E-12
0.00004	4.1E-03	5.4E-03	6.4E-03	1.3E-02	1.8E-02	1.00E-12
0.00003	7.1E-03	9.3E-03	1.8E-02	1.9E-02	9.2E-03	1.00E-12
0.00002	1.4E-02	1.4E-02	1.2E-02	9.5E-03	9.4E-03	1.00E-12
0.00001	2.9E-02	2.7E-02	2.4E-02	2.2E-02	1.3E-02	1.00E-12
0.000009	2.9E-02	2.6E-02	2.4E-02	2.2E-02	2.1E-02	1.00E-12
0.000008	2.9E-02	2.6E-02	2.4E-02	2.2E-02	2.1E-02	1.00E-12
0.000007	3.0E-02	2.6E-02	2.4E-02	2.2E-02	6.2E-02	1.00E-12
0.000006	3.0E-02	2.5E-02	2.4E-02	2.2E-02	4.4E-02	1.00E-12
0.000005	3.0E-02	2.4E-02	2.3E-02	2.1E-02	2.1E-02	1.00E-12
0.000004	3.0E-02	2.6E-02	2.3E-02	2.1E-02	3.7E-02	1.00E-12
0.000003	3.1E-02	2.6E-02	2.3E-02	2.1E-02	3.8E-02	1.00E-12
0.000002	1.3E-02	2.7E-02	2.3E-02	2.0E-02	2.6E-02	1.00E-12
0.000001	1.4E-02	2.7E-02	2.3E-02	2.0E-02	1.8E-02	1.00E-12
0.0000009	1.4E-02	2.7E-02	2.4E-02	2.0E-02	1.8E-02	1.00E-12
0.0000008	1.4E-02	2.7E-02	2.4E-02	2.0E-02	1.8E-02	1.00E-12
0.0000007	1.8E-02	2.7E-02	2.4E-02	2.0E-02	1.8E-02	1.00E-12
0.0000006	1.8E-02	2.7E-02	2.4E-02	2.0E-02	1.8E-02	1.00E-12
0.0000005	1.9E-02	2.7E-02	2.4E-02	2.1E-02	1.8E-02	1.00E-12
0.0000004	2.0E-02	2.7E-02	2.4E-02	2.1E-02	1.8E-02	1.00E-12
0.0000003	2.2E-02	2.7E-02	2.4E-02	2.1E-02	1.8E-02	1.00E-12
0.0000002	2.4E-02	2.7E-02	2.4E-02	2.1E-02	1.8E-02	1.00E-12
0.0000001	2.6E-02	2.6E-02	2.4E-02	2.1E-02	1.8E-02	1.00E-12
