Vdark	Idark	Vphoto	Iphoto	R	Vphoto
-20	4.20E-15	-20	1.69062	1.69	-20
-19.9	4.19E-15	-19.9	1.69061	1.69	-19.9
-19.8	4.19E-15	-19.8	1.69061	1.69	-19.8
-19.7	4.19E-15	-19.7	1.6906	1.69	-19.7
-19.6	4.18E-15	-19.6	1.6906	1.69	-19.6
-19.5	4.18E-15	-19.5	1.69059	1.69	-19.5
-19.4	4.18E-15	-19.4	1.69059	1.69	-19.4
-19.3	4.18E-15	-19.3	1.69058	1.69	-19.3
-19.2	4.17E-15	-19.2	1.69058	1.69	-19.2
-19.1	4.17E-15	-19.1	1.69057	1.69	-19.1
-19	4.17E-15	-19	1.69057	1.69	-19
-18.9	4.16E-15	-18.9	1.69056	1.69	-18.9
-18.8	4.16E-15	-18.8	1.69056	1.69	-18.8
-18.7	4.16E-15	-18.7	1.69055	1.69	-18.7
-18.6	4.15E-15	-18.6	1.69054	1.69	-18.6
-18.5	4.16E-15	-18.5	1.69054	1.69	-18.5
-18.4	4.15E-15	-18.4	1.69053	1.69	-18.4
-18.3	4.14E-15	-18.3	1.690530022	1.69	-18.3
-18.2	4.15E-15	-18.2	1.690520114	1.69	-18.2
-18.1	4.15E-15	-18.1	1.690520202	1.69	-18.1
-18	4.14E-15	-18	1.690510287	1.69	-18
-17.9	4.13E-15	-17.9	1.69050037	1.69	-17.9
-17.8	4.14E-15	-17.8	1.690500449	1.69	-17.8
-17.7	4.14E-15	-17.7	1.690490526	1.69	-17.7
-17.6	4.13E-15	-17.6	1.690480601	1.69	-17.6
-17.5	4.12E-15	-17.5	1.690480673	1.69	-17.5
-17.4	4.12E-15	-17.4	1.690470744	1.69	-17.4
-17.3	4.12E-15	-17.3	1.690470812	1.69	-17.3
-17.2	4.11E-15	-17.2	1.690460879	1.69	-17.2
-17.1	4.11E-15	-17.1	1.690450943	1.69	-17.1
-17	4.12E-15	-17	1.690451006	1.69	-17
-16.9	4.10E-15	-16.9	1.690441068	1.69	-16.9
-16.8	4.10E-15	-16.8	1.690431128	1.69	-16.8
-16.7	4.09E-15	-16.7	1.690431187	1.69	-16.7
-16.6	4.09E-15	-16.6	1.690421244	1.69	-16.6
-16.5	4.10E-15	-16.5	1.6904113	1.69	-16.5
-16.4	4.10E-15	-16.4	1.690401355	1.69	-16.4
-16.3	4.08E-15	-16.3	1.690401408	1.69	-16.3
-16.2	4.08E-15	-16.2	1.690391461	1.69	-16.2
-16.1	4.09E-15	-16.1	1.690381512	1.69	-16.1
-16	4.07E-15	-16	1.690381562	1.69	-16
-15.9	4.07E-15	-15.9	1.690371612	1.69	-15.9
-15.8	4.07E-15	-15.8	1.69036166	1.69	-15.8
-15.7	4.07E-15	-15.7	1.690351708	1.69	-15.7
