

Frequency (GHz), Normalized response (dB)
1e-06, -3
1.12202e-06, -3
1.25893e-06, -3
1.41254e-06, -3
1.58489e-06, -3
1.77828e-06, -3
1.99526e-06, -3
2.23872e-06, -3
2.51189e-06, -3
2.81838e-06, -3
3.16228e-06, -3
3.54813e-06, -3
3.98107e-06, -3
4.46684e-06, -3
5.01187e-06, -3
5.62341e-06, -3
6.30957e-06, -3
7.07946e-06, -3
7.94328e-06, -3
8.91251e-06, -3
1e-05, -3
1.12202e-05, -3
1.25893e-05, -3
1.41254e-05, -3
1.58489e-05, -3
1.77828e-05, -3
1.99526e-05, -3
2.23872e-05, -3
2.51189e-05, -3
2.81838e-05, -3
3.16228e-05, -3
3.54813e-05, -3
3.98107e-05, -3
4.46684e-05, -3
5.01187e-05, -3
5.62341e-05, -3
6.30957e-05, -3
7.07946e-05, -3
7.94328e-05, -3
8.91251e-05, -3
0.0001, -3
0.000112202, -3
0.000125893, -3
0.000141254, -3
0.000158489, -3
0.000177828, -3
0.000199526, -3
0.000223872, -3
0.000251189, -3
0.000281838, -3
0.000316228, -3
0.000354813, -3
0.000398107, -3
0.000446684, -3
0.000501187, -3
0.000562341, -3
0.000630957, -3
0.000707946, -3
0.000794328, -3
0.000891251, -3
0.001, -3
0.00112202, -3
0.00125893, -3
0.00141254, -3
0.00158489, -3
0.00177828, -3
0.00199526, -3
0.00223872, -3
0.00251189, -3
0.00281838, -3
0.00316228, -3
0.00354813, -3
0.00398107, -3
0.00446684, -3
0.00501187, -3
0.00562341, -3
0.00630957, -3
0.00707946, -3
0.00794328, -3
0.00891251, -3
0.01, -3
0.0112202, -3
0.0125893, -3
0.0141254, -3
0.0158489, -3
0.0177828, -3
0.0199526, -3
0.0223872, -3
0.0251189, -3
0.0281838, -3
0.0316228, -3
0.0354813, -3
0.0398107, -3
0.0446684, -3
0.0501187, -3
0.0562341, -3
0.0630957, -3
0.0707946, -3
0.0794328, -3
0.0891251, -3
0.1, -3
0.112202, -3
0.125893, -3
0.141254, -3
0.158489, -3
0.177828, -3
0.199526, -3
0.223872, -3
0.251189, -3
0.281838, -3
0.316228, -3
0.354813, -3
0.398107, -3
0.446684, -3
0.501187, -3
0.562341, -3
0.630957, -3
0.707946, -3
0.794328, -3
0.891251, -3
1, -3
1.12202, -3
1.25893, -3
1.41254, -3
1.58489, -3
1.77828, -3
1.99526, -3
2.23872, -3
2.51189, -3
2.81838, -3
3.16228, -3
3.54813, -3
3.98107, -3
4.46684, -3
5.01187, -3
5.62341, -3
6.30957, -3
7.07946, -3
7.94328, -3
8.91251, -3
10, -3
11.2202, -3
12.5893, -3
14.1254, -3
15.8489, -3
17.7828, -3
19.9526, -3
22.3872, -3
25.1189, -3
28.1838, -3
31.6228, -3
35.4813, -3
39.8107, -3
44.6684, -3
50.1187, -3
56.2341, -3
63.0957, -3
70.7946, -3
79.4328, -3
89.1251, -3
100, -3
112.202, -3
125.893, -3
141.254, -3
158.489, -3
177.828, -3
199.526, -3
223.872, -3
251.189, -3
281.838, -3
316.228, -3
354.813, -3
398.107, -3
446.684, -3
501.187, -3
562.341, -3
630.957, -3
707.946, -3
794.328, -3
891.251, -3
1000, -3



Frequency (GHz), Normalized response (dB)
1e-06, 0
1.12202e-06, 3.85731e-15
1.25893e-06, -1.52364e-13
1.41254e-06, -2.82548e-13
1.58489e-06, -3.11478e-13
1.77828e-06, -4.77342e-13
1.99526e-06, -5.90168e-13
2.23872e-06, -8.28357e-13
2.51189e-06, -1.16394e-12
2.81838e-06, -1.60464e-12
3.16228e-06, -1.76472e-12
3.54813e-06, -2.49182e-12
3.98107e-06, -3.05499e-12
4.46684e-06, -3.82549e-12
5.01187e-06, -4.75221e-12
5.62341e-06, -6.33756e-12
6.30957e-06, -7.8448e-12
7.07946e-06, -1.00955e-11
7.94328e-06, -1.29008e-11
8.91251e-06, -1.63463e-11
1e-05, -2.05026e-11
1.12202e-05, -2.60166e-11
1.25893e-05, -3.27862e-11
1.41254e-05, -4.16966e-11
1.58489e-05, -5.28037e-11
1.77828e-05, -6.65743e-11
1.99526e-05, -8.38338e-11
2.23872e-05, -1.06155e-10
2.51189e-05, -1.33562e-10
2.81838e-05, -1.68518e-10
3.16228e-05, -2.12369e-10
3.54813e-05, -2.67056e-10
3.98107e-05, -3.36902e-10
4.46684e-05, -4.24538e-10
5.01187e-05, -5.34596e-10
5.62341e-05, -6.73725e-10
6.30957e-05, -8.48425e-10
7.07946e-05, -1.06895e-09
7.94328e-05, -1.34646e-09
8.91251e-05, -1.6957e-09
0.0001, -2.13469e-09
0.000112202, -2.68736e-09
0.000125893, -3.3841e-09
0.000141254, -4.26114e-09
0.000158489, -5.36525e-09
0.000177828, -6.75468e-09
0.000199526, -8.50352e-09
0.000223872, -1.07065e-08
0.000251189, -1.3479e-08
0.000281838, -1.69694e-08
0.000316228, -2.13631e-08
0.000354813, -2.68948e-08
0.000398107, -3.38593e-08
0.000446684, -4.26266e-08
0.000501187, -5.36642e-08
0.000562341, -6.75597e-08
0.000630957, -8.50527e-08
0.000707946, -1.07075e-07
0.000794328, -1.348e-07
0.000891251, -1.69703e-07
0.001, -2.13643e-07
0.00112202, -2.68961e-07
0.00125893, -3.38603e-07
0.00141254, -4.26276e-07
0.00158489, -5.3665e-07
0.00177828, -6.75602e-07
0.00199526, -8.50533e-07
0.00223872, -1.07076e-06
0.00251189, -1.348e-06
0.00281838, -1.69704e-06
0.00316228, -2.13644e-06
0.00354813, -2.68962e-06
0.00398107, -3.38603e-06
0.00446684, -4.26276e-06
0.00501187, -5.3665e-06
0.00562341, -6.75602e-06
0.00630957, -8.50532e-06
0.00707946, -1.07076e-05
0.00794328, -1.348e-05
0.00891251, -1.69703e-05
0.01, -2.13643e-05
0.0112202, -2.6896e-05
0.0125893, -3.386e-05
0.0141254, -4.26272e-05
0.0158489, -5.36643e-05
0.0177828, -6.7559e-05
0.0199526, -8.50514e-05
0.0223872, -0.000107073
0.0251189, -0.000134796
0.0281838, -0.000169696
0.0316228, -0.000213632
0.0354813, -0.000268943
0.0398107, -0.000338572
0.0446684, -0.000426227
0.0501187, -0.000536571
0.0562341, -0.000675478
0.0630957, -0.000850335
0.0707946, -0.00107044
0.0794328, -0.00134751
0.0891251, -0.00169625
0.1, -0.00213519
0.112202, -0.00268764
0.125893, -0.00338289
0.141254, -0.00425778
0.158489, -0.00535861
0.177828, -0.00674352
0.199526, -0.00848552
0.223872, -0.0106762
0.251189, -0.0134304
0.281838, -0.0168917
0.316228, -0.0212399
0.354813, -0.0266992
0.398107, -0.0335486
0.446684, -0.0421349
0.501187, -0.0528865
0.562341, -0.0663312
0.630957, -0.083115
0.707946, -0.104023
0.794328, -0.129999
0.891251, -0.162167
1, -0.201843
1.12202, -0.250535
1.25893, -0.309932
1.41254, -0.381856
1.58489, -0.46818
1.77828, -0.570699
1.99526, -0.690946
2.23872, -0.82996
2.51189, -0.988027
2.81838, -1.16443
3.16228, -1.35727
3.54813, -1.56339
3.98107, -1.77851
4.46684, -1.99751
5.01187, -2.21486
5.62341, -2.42517
6.30957, -2.62368
7.07946, -2.80658
7.94328, -2.9713
8.91251, -3.11647
10, -3.24178
11.2202, -3.34782
12.5893, -3.43574
14.1254, -3.50706
15.8489, -3.56347
17.7828, -3.60664
19.9526, -3.63817
22.3872, -3.65949
25.1189, -3.67191
28.1838, -3.67654
31.6228, -3.67437
35.4813, -3.66627
39.8107, -3.65303
44.6684, -3.63545
50.1187, -3.61438
56.2341, -3.59081
63.0957, -3.56596
70.7946, -3.54134
79.4328, -3.51881
89.1251, -3.50061
100, -3.48929
112.202, -3.48773
125.893, -3.49902
141.254, -3.52634
158.489, -3.57286
177.828, -3.64147
199.526, -3.73459
223.872, -3.85387
251.189, -4.00001
281.838, -4.17262
316.228, -4.37018
354.813, -4.59025
398.107, -4.8297
446.684, -5.08514
501.187, -5.35327
562.341, -5.63128
630.957, -5.91708
707.946, -6.20949
794.328, -6.50822
891.251, -6.81389
1000, -7.12787

